replication,treatment_rate,mu0_min,mu0_max,mu1_min,mu1_max,bw,b.head,preterm,birth.o,nnhealth,momage,sex,twin,b.marr,mom.lths,mom.hs,mom.scoll,cig,first,booze,drugs,work.dur,prenatal,ark,ein,har,mia,pen,tex,was,intercept,catt_calibration_offset,CATT,CATC,ATE
1,0.38274111675126904,0.8651961958792086,9.82179228262831,5.525401077641662,7.95480367858421,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.6499999999999998,-5.670200059365463,4.07298450511442,4.019740084540128,4.040118913531507
2,0.38274111675126904,2.50180296062162,9.13922520956693,7.79380038854291,9.08936434502746,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.2500000000000007,-6.876788732348502,4.148431118730831,4.062461437092459,4.09536556904948
3,0.38274111675126904,0.624796671767995,10.8934424996771,5.85349395025791,8.71198396026823,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.7499999999999982,-6.323822957604566,4.183375397835273,4.121834284596301,4.1453885990035015
4,0.38274111675126904,3.33497460787722,19.4420864186415,11.4883740754247,13.2513491292511,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.4,0.0,1.3499999999999996,-10.283909009916007,4.459525085963732,4.336246394254197,4.383430218390741
5,0.38274111675126904,1.54940847935454,20.8672539939762,9.78198671954085,12.3822946233884,0.3,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.49999999999999867,-9.34411348767038,4.051474678529839,4.199576417198262,4.1428917923475055
6,0.38274111675126904,0.734980343913455,8.76906523330738,5.309684649069,7.78882638602203,0.0,0.1,0.2,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.4,0.5,-5.6175961721707885,4.047192151799826,4.004874659444905,4.0210713037269405
7,0.38274111675126904,0.473437519907155,4.81873902866105,4.41919745882839,6.73944506914968,0.2,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.04999999999999993,-5.166932787624623,3.973354085453201,3.9883889332821885,3.9826344788339365
8,0.38274111675126904,0.620626016772167,13.1135720381986,6.46243854494285,9.51311287816842,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.1,0.3,0.2,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.6499999999999977,-6.939465150823305,3.840102371739742,3.8201958168729764,3.827814873913353
9,0.38274111675126904,3.3226807034192065,255.749038643526,47.968979025088615,52.3124037730313,0.4,0.2,0.0,0.0,0.2,0.2,0.4,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.4,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.4,2.4000000000000012,-46.76820712717625,11.41054571196292,11.944292557662223,11.740005693876805
10,0.38274111675126904,2.9251955968910615,67.8754132713096,22.849341156049118,25.9936536738164,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.3,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.2,0.1,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.8499999999999988,-21.77597980686906,5.204818996505659,4.719971065514644,4.905542304076687
